day,p05,p25,p50,p75,p95,mean
204,32.88711856052695,56.06828085142895,82.79229873565885,121.43294958900525,208.16288066249567,97.02368695509762
205,32.900538007413424,55.871201915831605,82.67978247611362,121.0506766600467,208.38097516506411,97.00741916224156
206,32.764774433485464,55.788935172019954,82.74796970979077,120.99913174306472,208.8750804282922,96.97338892875106
207,32.61815355868448,55.79167098365044,82.81367822517979,121.15803479513752,209.6283454918946,97.01843659656319
208,32.65705729339625,55.677010238256024,82.63101086572343,121.44297955878585,209.9975281171473,97.0079435917153
209,32.58014533172614,55.564332183979886,82.59189305534191,121.4195533471102,210.0243263631442,97.03451270737368
210,32.36068870986436,55.506884454274896,82.54408973764254,121.59770663618872,210.45189001338883,97.03388357326052
211,32.255345286526534,55.41836011020501,82.37534953558378,121.4490555844499,211.19505351404706,97.0492218195034
212,32.195959672733196,55.16229746001937,82.41167576648286,121.20895190563613,212.72719863727056,97.00469545800705
213,32.13034916719557,55.104197433050864,82.39188291784266,121.16536081479111,211.73201842389963,96.97327003582731
214,31.97147297904284,55.274985791217794,82.24637567014229,121.16669436245729,212.44899967584522,96.99112056707521
215,31.893246580225682,55.224080556398356,82.12215482796793,121.37268545169985,213.02033672180187,97.00747383145738
216,31.761087528338688,55.05622308493054,82.1502887532805,121.58876462553357,211.89367686868414,96.98926114246942
217,31.52164903966212,55.121217095287875,82.05458802585247,121.7101633838015,213.27285392050794,96.96947079759128
218,31.411536083796076,55.07772400096095,82.15404623463,121.75119781705695,213.23724553588488,97.0172994361944
219,31.28980940087972,54.89640279239188,81.9246238969257,121.48567323281308,212.9833512154414,97.00806829876468
220,31.13479712078315,54.7763370510613,81.70736381697425,121.58618102321924,213.43987050993834,97.02731798655282
221,31.170096471786234,54.679942350196455,81.68019638985376,121.73561149777447,214.64250476176906,96.99614757834777
222,30.97410519448006,54.54888645431408,81.26900556489306,121.48414111945164,215.01476905930858,96.94333474060777
223,30.865476386227627,54.43265512545514,81.32915950545029,121.55380956301289,215.42931114625162,96.94485711583904
224,30.64841589343951,54.50853892806199,81.02138018306681,121.55873877252166,215.12866155641686,96.90582138352256
225,30.630582772279595,54.400133164672575,80.97323385184886,121.53245229714166,215.22625209934006,96.92654864289888
226,30.676490227031124,54.25956101524425,80.93921804094995,121.84514446671045,216.33048866132143,96.99143666374646
227,30.56596847340054,54.06979566446947,80.98247155060368,121.9975693719857,216.59704605455204,96.99709516588217
228,30.48417631467735,54.14879737003356,80.8587577360739,121.9791054455416,215.54952241354658,96.97883084916776
229,30.35441460721696,53.96544129553213,80.90022263698077,121.71410784231168,216.97734541718697,97.04397037107437
230,30.338891262803557,53.8986506684074,80.74545287824503,121.91848692656004,217.13665710028764,96.99371230573496
231,30.163197648913474,53.72312352157709,80.79447852705391,121.92980689533651,216.4276969737978,96.95333004617734
232,30.143723887138602,53.708558924867376,80.82382232133071,121.99821929304915,217.47089579550544,96.96245475676437
233,30.09214232923234,53.647405227177586,80.80825171083458,121.81021426536984,217.11885303162666,96.97792943532951
234,29.931719412252335,53.524480806523485,80.59243851589167,121.87822014034322,216.825874094795,96.89258745027361
235,29.935286908654497,53.368163600724756,80.51482937627716,122.01460790414099,217.50896088326553,96.89586583029097
236,29.851672496306495,53.303740181148825,80.53853011961517,121.92541525853308,218.28292683847573,96.87668767952253
237,29.773383772145518,53.199510809664794,80.56759477273853,122.02822525298038,218.07586811613706,96.90701859003171
238,29.63544047725163,53.25682710318415,80.3926154563326,122.26921478394144,218.38745650546863,96.90407642719144
239,29.541347134398958,53.10024751519272,80.59330462461908,121.73724645449954,218.20749330745974,96.96132119811612
240,29.61613000615152,53.14327256109432,80.44906458313862,121.8718163242302,219.0103851156331,96.91136380967315
241,29.466595800672668,52.99707957652896,80.46214878630204,121.85562881650004,218.87167315454892,96.93730660909132
242,29.29533465829775,53.00815367511106,80.41727254040924,122.06280942890575,220.70258181061425,96.99592579772944
243,29.18234968912137,53.03177579469984,80.26199478122012,122.35037307491582,220.4901419443696,97.03059090971793
244,29.094527096345864,53.0775342486834,80.2788197681165,122.82941950219285,221.09471151519654,97.07818057971974
245,29.007116995602306,52.87078199979588,80.27553080240608,122.73036302499227,221.35242285678737,97.08083367054083
246,29.010154160333258,52.75305207176146,80.14590286577902,122.63997725807744,222.1063866726269,97.11015143232339
247,28.983200324203473,52.701682714014986,80.21751820445648,122.20948811262933,222.4340007102008,97.14912980766714
248,28.89313873024435,52.61881405211808,80.10093485702669,122.17566953707734,222.70963940353798,97.14872820279382
249,28.65810846209331,52.57971173728643,80.14268364725007,122.1186853157334,222.35648294762305,97.10560380980814
250,28.76895520099498,52.43119217422176,79.8732617845265,122.40363472974676,222.88323171370803,97.13120320818426
251,28.634124147161934,52.422090162318234,79.75512086581533,122.48873582288105,223.14722524822884,97.14054651715115
252,28.606046100347367,52.251924044600294,79.7204378887167,122.6278188121302,222.59038984818747,97.13323082118654
